Person ID	Career	Pronouns	LGBTQ	Nationality	Needs	Child
487258	Post doctorate or almost	Female	No	German	NA	
485639	Post doctorate or almost	Male	No	French	NA	
487420	"Students (BSc, MSc, PhD)"	Male	No	German	NA	
505712	"Students (BSc, MSc, PhD)"	Male	No answer	British	NA	
485058	"Students (BSc, MSc, PhD)"	Female	No answer	German	NA	
497832	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
491295	Post doctorate or almost	Female	No	Dual nationality	NA	
483839	"Students (BSc, MSc, PhD)"	Female	No	Dutch	NA	
486297	"Students (BSc, MSc, PhD)"	Female	Yes	Colombian	NA	
506811	"Students (BSc, MSc, PhD)"	Female	No answer	NA	NA	
487212	Post doctorate or almost	Female	No	British	NA	
484569	Post doctorate or almost	Female	No	French	no	
485113	Professor or associate	No answer	No answer	German	NA	
487090	"Students (BSc, MSc, PhD)"	Female	No	Austrian	NA	
503665	"Students (BSc, MSc, PhD)"	Female	No	Canadian	no	
485765	Post doctorate or almost	Female	No	British	NA	
485143	"Students (BSc, MSc, PhD)"	Female	No	Dual nationality	No	
504809	"Students (BSc, MSc, PhD)"	Gender queer	Yes	American	mobility issues- will need seat while presenting	
481921	Post doctorate or almost	Gender queer	Yes	Canadian	NA	
502411	"Students (BSc, MSc, PhD)"	No answer	Yes	German	NA	
486784	"Students (BSc, MSc, PhD)"	No answer	No answer	NA	NA	
486010	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
485171	"Students (BSc, MSc, PhD)"	Female	No	British	NA	
483811	Professor or associate	Male	No	Swiss	NA	
506901	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
485758	"Students (BSc, MSc, PhD)"	Male	No	Italian	NA	
502221	"Students (BSc, MSc, PhD)"	Female	No answer	French	NA	
168026	"Senior position, lecturers, researchers"	Female	No	German	NA	
485467	"Students (BSc, MSc, PhD)"	Female	No	Mexican	NA	
485384	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
485414	"Students (BSc, MSc, PhD)"	Female	No answer	Indian	NA	
486587	"Students (BSc, MSc, PhD)"	Female	No	Swiss	NA	
488816	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
479335	"Students (BSc, MSc, PhD)"	Female	No	Austrian	NA	
486752	"Students (BSc, MSc, PhD)"	Male	No	German	NA	
487189	Post doctorate or almost	Female	Yes	Finnish	NA	
486581	"Students (BSc, MSc, PhD)"	Female	No	Indian	NA	
487206	Post doctorate or almost	Female	No	Finnish	NA	
502447	"Students (BSc, MSc, PhD)"	Male	No	British	NA	
486265	Post doctorate or almost	Female	No	Argentinian	NA	
485991	"Students (BSc, MSc, PhD)"	Male	Yes	Bangladeshi	NA	
486973	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
505251	Post doctorate or almost	Female	Yes	Australian	NA	
483545	"Senior position, lecturers, researchers"	Female	No	Austrian	NA	
504049	"Students (BSc, MSc, PhD)"	Female	Yes	German	NA	
506790	"Senior position, lecturers, researchers"	Female	No	French	NA	
484882	"Students (BSc, MSc, PhD)"	Male	No	Australian	No	
487388	Professor or associate	Female	No	NA	NA	
481900	Post doctorate or almost	Female	No	French	NA	
484824	Professor or associate	Female	No	NA	No	
487316	Professor or associate	Female	Yes	Austrian	none	
494364	Post doctorate or almost	Female	No	German	NA	
499276	Post doctorate or almost	Female	No	American	NA	
481157	"Students (BSc, MSc, PhD)"	Male	No answer	German	NA	
506727	"Students (BSc, MSc, PhD)"	Female	Yes	German	NA	
483908	"Students (BSc, MSc, PhD)"	Female	No	American	NA	
486288	Post doctorate or almost	Female	Yes	German	NA	
487313	Post doctorate or almost	Female	No	Polish	No	
485140	Post doctorate or almost	Female	No	German	"no, but thank you for asking"	
486324	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
473833	"Students (BSc, MSc, PhD)"	Male	No	German	NA	
487002	Professor or associate	Male	No	German	no	
485918	Professor or associate	Male	Yes	Canadian	No	
503319	"Students (BSc, MSc, PhD)"	Male	No	Austrian	NA	
496105	"Senior position, lecturers, researchers"	Female	Yes	Swiss	NA	
487246	"Students (BSc, MSc, PhD)"	Female	Yes	German	NA	
503459	"Senior position, lecturers, researchers"	Female	No	British	NA	
488797	"Senior position, lecturers, researchers"	Female	No	Australian	NA	
487236	"Senior position, lecturers, researchers"	Male	No	Taiwanese	none	
486437	"Students (BSc, MSc, PhD)"	Female	No	British	NA	
486828	Professor or associate	Male	No	Israeli	NA	
482320	Professor or associate	Male	No	British	NA	
485982	"Students (BSc, MSc, PhD)"	Male	Yes	Australian	NA	
505323	"Students (BSc, MSc, PhD)"	Female	No	Turkish	NA	
502152	"Students (BSc, MSc, PhD)"	Male	No	Japanese	NA	
485352	Professor or associate	Male	No	Japanese	NA	
506121	Post doctorate or almost	Male	No	Iranian	NA	
412232	"Senior position, lecturers, researchers"	Female	No	German	NA	
486746	"Students (BSc, MSc, PhD)"	Female	No	Danish	NA	
484752	"Students (BSc, MSc, PhD)"	No answer	No	Danish	NA	
486570	"Students (BSc, MSc, PhD)"	Female	No	NA	NA	
485371	"Students (BSc, MSc, PhD)"	Female	No	British	No	
483812	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
485576	Post doctorate or almost	Female	Yes	American	NA	
483966	"Senior position, lecturers, researchers"	Male	No	British	No	
502840	"Students (BSc, MSc, PhD)"	Male	No	Indian	No	
497602	Post doctorate or almost	Female	No	German	no	
487384	"Students (BSc, MSc, PhD)"	Female	No	NA	NA	
400995	Professor or associate	Female	No	German	NA	
495783	"Senior position, lecturers, researchers"	Male	No	German	NA	
487348	"Students (BSc, MSc, PhD)"	Female	No	Indian	NA	
499038	"Senior position, lecturers, researchers"	Male	No	Japanese	NA	
505471	Post doctorate or almost	Male	No	Cypriot	NA	
483887	Post doctorate or almost	Female	No	German	NA	
